Government is Not God PAC	None	0	0	0	1	2	3
Centers for Disease Control	None	1	1	0	0	0	0
Save Our City, Milwaukeeans Can't Wait	Organization	0	0	0	1	0	0
Fred Upton	Republican	0	0	0	0	2	0
City of Atlanta	None	1	0	1	1	1	0
Tomi Lahren	Talk show host	0	0	0	1	0	0
Daniel Kelly	State official	0	0	0	2	0	0
Pat Kreitlow	Democrat	0	0	0	0	0	1
Gene Wu	Democrat	0	0	0	0	2	0
Martha Robertson	Democrat	0	0	1	0	0	0
Erin Burnett	None	0	0	0	0	1	0
Kelly O'Donnell	None	0	1	0	0	0	0
Frank Pallone	Democrat	0	0	0	0	1	0
Debbie Riddle	Republican	0	0	0	0	1	0
Gary Sasse	Newsmaker	2	0	0	0	0	0
Gun Free UT Gun Free UT	None	0	0	1	0	0	0
Everett Rice	Republican	0	0	0	0	0	0
John Kennedy	None	0	0	0	0	0	1
Barry Loudermilk	Republican	0	0	0	1	1	0
Martina White	Republican	0	0	0	0	1	0
Thomas Anderson	None	0	0	1	0	0	0
John Boccieri	Democrat	1	0	1	0	0	0
David Porter	Republican	0	0	1	0	0	0
James Dobson	Republican	1	1	0	0	0	0
Volusia County Republican Party	Republican	0	0	0	0	1	0
Mr. Conservative	None	0	0	0	0	1	1
Yes on 8	None	0	1	0	0	0	0
Progress Florida	None	1	0	0	0	0	0
Beth Parlato	Republican	0	1	0	0	0	0
Florida Students for Concealed Carry	Organization	0	0	0	1	0	0
Paul Levesque	None	0	1	0	0	0	0
NARAL Pro-Choice New York	Organization	0	0	0	0	0	0
Michael Riley	Republican	0	0	1	2	1	0
The Palmer Report	None	0	0	0	0	0	0
Chuck Hagel	Republican	0	0	1	0	0	0
Richard Hudson	Republican	0	0	2	1	0	0
Steven Emerson	None	0	0	0	0	0	1
Ralph Long	Democrat	0	0	0	1	0	0
Michael Caputo	Republican	0	1	0	1	1	0
Patricia Morgan	Republican	0	1	1	1	0	0
Bill Janis	Republican	0	0	0	1	0	0
Daniel Llanes	Democrat	0	0	0	0	1	0
Jon Keyser	Republican	0	0	0	0	1	1
Dan Branch	Republican	0	0	1	0	0	0
Carl Hosticka	Democrat	0	0	0	1	0	0
Menominee Indian Tribe of Wisconsin	None	0	1	0	0	0	0
National Football League	None	0	0	0	0	0	0
Susan B. Anthony List	Republican	0	0	0	0	1	1
ABC NEWS-US	None	0	0	0	0	0	1
Christine Sinicki	Democrat	0	0	0	0	1	0
Tom Reed	Republican	0	0	1	0	1	0
Cenk Uygur	Democrat	1	0	0	0	0	0
Georgia Democrats	Democrat	0	0	1	0	0	0
Dean Wright	None	0	0	0	0	1	0
Thom Hartmann	None	0	1	0	0	0	1
John G. Edwards	Democrat	0	1	0	0	1	0
